,fold-change Control7 7a72,fold-change Control7 7b72
AKR1B1,0.4580607564153124,0.5654649898357799
ALDH4A1,1.3330190792614511,0.7777679668852558
CBR1,-0.2869990739039432,0.47662525297891856
COMT,0.5678942517477429,0.7499262601859084
DBH,,
DDC,-0.13586779010384378,0.7787447883600699
DHFR,1.0387827156108986,1.0576984921235806
DYRK1B,0.23841453395630288,-0.65343629563731
FAH,-0.3878131084356955,0.15706608359735713
FPGS,1.1099818639135985,0.3602817612650477
GART,1.232156602305548,0.5382432443210784
GGH,0.6702577154467241,0.666037877364629
GLUD1,0.4004910904732121,0.5958667843030424
GLUD2,0,inf
GOT1,0.8022329675064614,0.07750505248761655
GPT,-0.6331560119511718,-0.21902054319211256
GPT2,0.9746117606016695,1.2487202316695507
GSTZ1,1.029077817925351,0.8127076225510252
HGD,0.7845873544517105,0.13239143712737542
HNF1A,1.6461100997065115,0.6883031627419653
HPD,,
MAOA,-0.12204315901943397,0.24323314775411672
MAOB,-0.1815805130393501,0.39260404286867623
MDH1,0.5121449894964715,0.8794662913144042
MTHFD1,1.016071264382646,1.0161454200224378
MTHFD1L,0.46535179051885206,0.41298775835807416
PAH,,
PCBD1,0.8616081631902286,0.6147481650754787
PCBD2,0.46672545046348946,-0.3444021892579794
PTS,0.6276999423890539,0.7498190451510744
QDPR,0.2968763710953997,0.2875308733222155
SHMT1,1.6302547232631506,1.3750850393102876
SHMT2,1.075384700353016,0.669004767297259
SORD,0.8450380662599042,0.6759145720702311
SPR,0.22007883150596788,-0.006489543030823974
TAT,-0.12312636838088181,1.4109917837608164
TH,inf,inf
TPH1,,
TPH2,,
TYMS,1.2985938662792313,-0.28240305299625645
UAP1L1,-0.036627508674112644,-0.9062470921860235
ADSS,0.7055843116529217,0.5229946165534951
ADSSL1,2.2019935546175957,2.147621257885708
ALPI,0.9439878273907643,1.641235796731231
ALPL,,
ALPP,1.9227582420835725,1.6347449370823859
ALPPL2,-0.47104967172954193,-0.6625973502595336
AMPD1,,
ATIC,0.8581847538614392,0.7034469061249459
ENPP1,-1.247340901513486,0.2628029717923106
ENTPD5,0.30413053290641107,0.4708934700279566
ENTPD6,0.31667984988447734,0.40813134236564763
GCH1,0.34128892498339525,0.21111643580901185
GCHFR,0.09081786684565854,0.556009321579503
GMPR,2.003872565334845,2.684427195589219
GMPR2,0.8044003592021759,0.7727906444384808
GMPS,0.5675086722638836,0.7419128133052134
GPHN,0.10045603745326957,0.5688201690828198
GUK1,0.4813532798065661,0.8448424844657464
IBSP,,
IMPDH1,0.46913296630343343,0.10288626538364921
IMPDH2,1.1313724160172431,0.5381777000603043
ITPA,1.2954764669241485,0.9974761641619058
MOCS1,-2.2679905415249357,-1.1419939665194163
MOCS2,0.9294749948991529,1.0170334107184038
NME7,1.23728651653106,-0.6142854298241691
NUDT16,0.8990111441659547,0.13757792229115126
SUOX,0.36475659396496346,0.8091385686956118
THY1,,
TPMT,-0.2367462672568684,0.5548937147591086
TYR,,
